EID,4way time (us),activity,alias,anqp time (us),ap,beacon,bps rx,bps rx ll,bps tx,bps tx ll,bytes rx ll,bytes tx ll,channel,collisions,connections,crypt,cx ago,cx time (us),device,dhcp (ms),down,entity id,gateway ip,ip,ipv6 address,ipv6 gateway,key/phrase,login-fail,login-ok,logout-fail,logout-ok,mac,mask,misc,mode,mtu,no cx (us),noise,parent dev,phantom,port,port type,pps rx,pps tx,qlen,reset,retry failed,rx bytes,rx crc,rx drop,rx errors,rx fifo,rx frame,rx length,rx miss,rx over,rx pkts,rx-rate,sec,signal,ssid,status,time-stamp,tx abort,tx bytes,tx crr,tx errors,tx fifo,tx hb,tx pkts,tx wind,tx-failed %,tx-rate,wifi retries
1.1.sta00013,0,23,sta00013,0,04:D4:C4:4F:BB:9C,0,1666259,1666259,12749,12749,17173098,131406,36,0,1,0,58.811 s,13510,sta00013,23860,FALSE,NA,192.168.50.1,192.168.50.21,fe80::6f0:21ff:fe81:a9f/64,DELETED,,0,0,0,0,04:f0:21:81:0a:9f,255.255.255.0,16,802.11an-AC 160,1500,3513160,-102 dBm,wiphy0,FALSE,1.1.020,WIFI-STA,145,18,1000,Complete,5,17173098,0,0,0,0,0,0,0,0,11993,702 Mbps,0,-35 dBm,ASUSAP,Authorized,21:20.6,0,131406,0,0,0,0,1491,0,1.914191365,1040 Mbps,24
1.1.sta00014,0,23,sta00014,0,04:D4:C4:4F:BB:9C,0,1997339,1997339,12727,12727,20560368,131020,36,0,1,0,58.792 s,11250,sta00014,23942,FALSE,NA,192.168.50.1,192.168.50.55,fe80::6f0:21ff:feeb:909f/64,DELETED,,0,0,0,0,04:f0:21:eb:90:9f,255.255.255.0,15,802.11an-AC 160,1500,3507394,-102 dBm,wiphy0,FALSE,1.1.021,WIFI-STA,173,18,1000,Complete,23,20560368,0,0,0,0,0,0,0,0,14265,877.5 Mbps,0,-34 dBm,ASUSAP,Authorized,21:20.6,0,131020,0,0,0,0,1488,0,5.483870983,1170.2 Mbps,62
1.1.sta00015,0,23,sta00015,0,04:D4:C4:4F:BB:9C,0,1805135,1805135,19226,19226,18581840,197912,36,0,1,0,58.777 s,7032,sta00015,23802,FALSE,NA,192.168.50.1,192.168.50.102,fe80::6f0:21ff:fe1f:119f/64,DELETED,,0,0,0,0,04:f0:21:1f:11:9f,255.255.255.0,17,802.11an-AC 160,1500,3503717,-102 dBm,wiphy0,FALSE,1.1.022,WIFI-STA,156,26,1000,Complete,4,18581840,0,0,0,0,0,0,0,0,12918,526.5 Mbps,0,-33 dBm,ASUSAP,Authorized,21:20.6,0,197912,0,0,0,0,2158,0,3.753351212,1040 Mbps,80
1.1.sta00016,0,23,sta00016,0,04:D4:C4:4F:BB:9C,0,2097735,2097735,15670,15670,21594094,161316,36,0,1,0,58.765 s,10002,sta00016,23789,FALSE,NA,192.168.50.1,192.168.50.180,fe80::6f0:21ff:fe55:1c9f/64,DELETED,,0,0,0,0,04:f0:21:55:1c:9f,255.255.255.0,14,802.11an-AC 160,1500,3500165,-102 dBm,wiphy0,FALSE,1.1.023,WIFI-STA,181,22,1000,Complete,52,21594094,0,0,0,0,0,0,0,0,14950,702 Mbps,0,-34 dBm,ASUSAP,Authorized,21:20.6,0,161316,0,0,0,0,1814,0,7.700366497,1300 Mbps,95
1.1.sta00017,0,23,sta00017,0,04:D4:C4:4F:BB:9C,0,2054127,2054127,14317,14317,21145192,147388,36,0,1,0,58.751 s,7991,sta00017,23842,FALSE,NA,192.168.50.1,192.168.50.232,fe80::6f0:21ff:fe52:1b9f/64,DELETED,,0,0,0,0,04:f0:21:52:1b:9f,255.255.255.0,15,802.11an-AC 160,1500,3496663,-102 dBm,wiphy0,FALSE,1.1.024,WIFI-STA,177,20,1000,Complete,9,21145192,0,0,0,0,0,0,0,0,14606,975 Mbps,0,-34 dBm,ASUSAP,Authorized,21:20.6,0,147388,0,0,0,0,1672,0,3.032069921,1170.2 Mbps,43
1.1.sta00018,0,23,sta00018,0,04:D4:C4:4F:BB:9C,0,9158,9158,439,439,94296,4528,36,0,2,0,12.255 s,15312,sta00018,9583,FALSE,NA,192.168.50.1,192.168.50.169,fe80::6f0:21ff:fe41:e29f/64,DELETED,,0,0,0,0,04:f0:21:41:e2:9f,255.255.255.0,25,802.11an-AC 160,1500,5651250,-102 dBm,wiphy0,FALSE,1.1.025,WIFI-STA,7,0,1000,Complete,0,94296,0,0,0,0,0,0,0,0,658,6.5 Mbps,0,-33 dBm,ASUSAP,Authorized,21:20.6,0,4528,0,0,0,0,24,0,0,866.7 Mbps,0
1.1.sta00019,0,23,sta00019,0,04:D4:C4:4F:BB:9C,0,2045277,2045277,18935,18935,21058690,194962,36,0,1,0,58.731 s,11603,sta00019,23762,FALSE,NA,192.168.50.1,192.168.50.241,fe80::6f0:21ff:fee7:aa9f/64,DELETED,,0,0,0,0,04:f0:21:e7:aa:9f,255.255.255.0,17,802.11an-AC 160,1500,3477657,-102 dBm,wiphy0,FALSE,1.1.026,WIFI-STA,176,26,1000,Complete,52,21058690,0,0,0,0,0,0,0,0,14563,877.5 Mbps,0,-34 dBm,ASUSAP,Authorized,21:20.6,0,194962,0,0,0,0,2199,0,4.450378418,1170.2 Mbps,48
1.1.sta00020,0,23,sta00020,0,04:D4:C4:4F:BB:9C,0,2291481,2291481,19731,19731,23593662,203156,36,0,1,0,58.743 s,7051,sta00020,23737,FALSE,NA,192.168.50.1,192.168.50.249,fe80::6f0:21ff:fe7c:5a9f/64,DELETED,,0,0,0,0,04:f0:21:7c:5a:9f,255.255.255.0,14,802.11an-AC 160,1500,3473835,-102 dBm,wiphy0,FALSE,1.1.027,WIFI-STA,197,28,1000,Complete,29,23593662,0,0,0,0,0,0,0,0,16265,520 Mbps,0,-34 dBm,ASUSAP,Authorized,21:20.6,0,203156,0,0,0,0,2320,0,4.858803749,1170 Mbps,88
1.1.sta00021,0,23,sta00021,0,04:D4:C4:4F:BB:9C,0,2242846,2242846,15505,15505,23092910,159652,36,0,1,0,58.714 s,9015,sta00021,23689,FALSE,NA,192.168.50.1,192.168.50.124,fe80::6f0:21ff:fe8e:cc9f/64,DELETED,,0,0,0,0,04:f0:21:8e:cc:9f,255.255.255.0,15,802.11an-AC 160,1500,3470536,-102 dBm,wiphy0,FALSE,1.1.028,WIFI-STA,193,21,1000,Complete,33,23092910,0,0,0,0,0,0,0,0,15943,702 Mbps,0,-34 dBm,ASUSAP,Authorized,21:20.6,0,159652,0,0,0,0,1808,0,4.77467823,1040 Mbps,56
1.1.sta00022,0,23,sta00022,0,04:D4:C4:4F:BB:9C,0,9336,9336,404,404,96012,4164,36,0,1,0,58.695 s,5501,sta00022,55776,FALSE,NA,192.168.50.1,192.168.50.242,fe80::6f0:21ff:fe63:b69f/64,DELETED,,0,0,0,0,04:f0:21:63:b6:9f,255.255.255.0,19,802.11an-AC 160,1500,3470770,-102 dBm,wiphy0,FALSE,1.1.029,WIFI-STA,8,0,1000,Complete,0,96012,0,0,0,0,0,0,0,0,685,702 Mbps,0,-33 dBm,ASUSAP,Authorized,21:20.6,0,4164,0,0,0,0,18,0,0,1170.2 Mbps,0
